regionID,neighbourhood,jul_13,sept_17,rawchange,pctchange,col,row,
269566,Albany Park,173000,232900,59900,0.346242775,1,1,
269567,Andersonville,250700,303500,52800,0.210610291,2,1,
403255,Arcadia Terrace,232900,301800,68900,0.295835122,3,1,
269568,Archer Heights,133800,176000,42200,0.315396114,1,2,
269570,Ashburn,129300,164200,34900,0.269914927,2,2,
269572,Avalon Park,146700,154800,8100,0.055214724,3,2,
269573,Avondale,263200,334100,70900,0.2693769,1,3,
403146,Back of the Yards,87000,111000,24000,0.275862069,2,3,
403109,Belmont Central,183100,232600,49500,0.270344074,3,3,
403317,Belmont Gardens,162800,221800,59000,0.362407862,1,4,
403283,Belmont Heights,187600,235300,47700,0.254264392,2,4,
403282,Belmont Terrace,206800,254900,48100,0.232591876,3,4,
272951,Beverly,307000,325100,18100,0.058957655,1,5,
403372,Beverly Woods,186500,221400,34900,0.187131367,2,5,
403279,Big Oaks,236000,290000,54000,0.228813559,3,5,
403378,Brainerd,130300,143200,12900,0.099002302,1,6,
273035,Bridgeport,240800,290500,49700,0.206395349,2,6,
273040,Brighton Park,122800,167600,44800,0.364820847,3,6,
403145,Bronzeville,191300,200500,9200,0.048092002,1,7,
137603,Bucktown,336100,401600,65500,0.194882475,2,7,
403262,Budlong Woods,142200,162700,20500,0.14416315,3,7,
403264,Buena Park,165500,194900,29400,0.177643505,1,8,
137634,Burnside,137300,132000,-5300,-0.038601602,2,8,
403302,Cabrini Green,224900,275600,50700,0.225433526,3,8,
273111,Calumet Heights,131000,143500,12500,0.095419847,1,9,
403340,Canaryville,173000,209300,36300,0.20982659,2,9,
273222,Chatham,145800,155800,10000,0.068587106,3,9,
269576,Chicago Lawn,110100,138600,28500,0.258855586,1,10,
137799,Chinatown,204100,246400,42300,0.207251347,2,10,
403336,Chrysler Village,96700,135100,38400,0.397104447,3,10,
137841,Clearing (W),156900,203200,46300,0.295092416,1,11,
28173,Cragin,177400,239000,61600,0.34723788,2,11,
138129,Dunning,170500,223500,53000,0.31085044,3,11,
403375,East Beverly,194000,226400,32400,0.167010309,1,12,
403360,East Chatham,111900,120000,8100,0.072386059,2,12,
269577,East Garfield Park,115400,164200,48800,0.42287695,3,12,
403352,East Hyde Park,165200,175300,10100,0.061138015,1,13,
138166,East Side,110500,120300,9800,0.088687783,2,13,
403311,East Ukrainian Village,380300,462600,82300,0.216408099,3,13,
51847,Edgebrook,420300,444800,24500,0.058291696,1,14,
269578,Edgewater,194200,246900,52700,0.271369722,2,14,
403257,Edgewater Beach,110000,151400,41400,0.376363636,3,14,
403258,Edgewater Glen,379900,411500,31600,0.083179784,1,15,
269579,Edison Park,293900,344900,51000,0.173528411,2,15,
138261,Englewood,80700,83900,3200,0.039653036,3,15,
403377,Fernwood,94600,97200,2600,0.027484144,1,16,
269580,Forest Glen,299800,345200,45400,0.15143429,2,16,
403313,Fulton River District,247600,310100,62500,0.252423263,3,16,
269582,Gage Park,105600,142000,36400,0.34469697,1,17,
403325,Galewood,207000,258800,51800,0.250241546,2,17,
269584,Garfield Ridge,168000,219100,51100,0.304166667,3,17,
403303,Gold Coast,268000,312500,44500,0.166044776,1,18,
403298,Goose Island,265000,330400,65400,0.246792453,2,18,
403267,Graceland West,364500,402300,37800,0.103703704,3,18,
276349,Grand Crossing,114000,115000,1000,0.00877193,1,19,
403320,Greektown,225900,296200,70300,0.311199646,2,19,
269571,Gresham,119900,132800,12900,0.107589658,3,19,
403330,Heart of Chicago,138800,218100,79300,0.571325648,1,20,
138732,Hegewisch,90000,101500,11500,0.127777778,2,20,
273964,Hermosa,152700,214700,62000,0.406024885,3,20,
403268,Hollywood Park,245800,302300,56500,0.229861676,1,21,
269585,Humboldt Park,164700,228500,63800,0.387370978,2,21,
269586,Hyde Park,220600,227100,6500,0.029465095,3,21,
269587,Irving Park,277800,330800,53000,0.190784737,1,22,
403281,Irving Woods,197900,238200,40300,0.203638201,2,22,
269588,Jefferson Park,230000,289500,59500,0.258695652,3,22,
403315,Kelvin Park,170200,226200,56000,0.329024677,1,23,
274178,Kenwood,165400,193000,27600,0.166868198,2,23,
403287,Kilbourn Park,181700,253800,72100,0.396807925,3,23,
269589,Lake View,309100,345900,36800,0.119055322,1,24,
403295,Lake View East,195100,233300,38200,0.195797027,2,24,
403296,Lathrop Homes,334300,388200,53900,0.161232426,3,24,
403334,LeClaire Courts,115700,135000,19300,0.166810717,1,25,
269590,Lincoln Park,390900,474200,83300,0.213097979,2,25,
269591,Lincoln Square,245900,297300,51400,0.20902806,3,25,
403117,Little Village,107000,136000,29000,0.271028037,1,26,
269592,Logan Square,209600,296600,87000,0.415076336,2,26,
403376,Longwood Manor,126200,128100,1900,0.015055468,3,26,
403259,Magnolia Glen,193400,239700,46300,0.239400207,1,27,
403148,Marquette Park,113300,135300,22000,0.194174757,2,27,
403358,Marynook,145400,165800,20400,0.140302613,3,27,
403286,Mayfair,228500,278900,50400,0.220568928,1,28,
139408,McKinley Park,154500,203000,48500,0.313915858,2,28,
274579,Montclare,187200,238300,51100,0.272970085,3,28,
269595,Morgan Park,129500,140600,11100,0.085714286,1,29,
269596,Mount Greenwood,189400,220200,30800,0.162618796,2,29,
269597,Near North,230800,265000,34200,0.148180243,3,29,
269599,Near West Side,227800,307600,79800,0.350307287,1,30,
403342,New Eastside,298000,318100,20100,0.067449664,2,30,
403310,Noble Square,340500,408100,67600,0.198531571,3,30,
403323,North Austin,133700,174600,40900,0.305908751,1,31,
269600,North Center,383300,441600,58300,0.152100183,2,31,
403351,North Kenwood,212500,238200,25700,0.120941176,3,31,
403271,North Mayfair,235800,304500,68700,0.291348601,1,32,
276477,North Park,241400,305600,64200,0.265948633,2,32,
269602,Norwood Park East,260100,313600,53500,0.205690119,3,32,
403276,Norwood Park West,262500,318500,56000,0.213333333,1,33,
269603,O'Hare,94100,126400,32300,0.34325186,2,33,
274850,Oakland,251200,292100,40900,0.162818471,3,33,
403288,Old Irving Park,231700,311100,79400,0.342684506,1,34,
403277,Old Norwood Park,352400,393100,40700,0.115493757,2,34,
403301,Old Town,196800,235000,38200,0.194105691,3,34,
403304,Old Town Triangle,316800,358200,41400,0.130681818,1,35,
403168,Oriole Park,247200,290500,43300,0.175161812,2,35,
403314,Palmer Square,220200,325500,105300,0.478201635,3,35,
403356,Park Manor,114400,139500,25100,0.219405594,1,36,
403308,Park West,223700,255500,31800,0.142154671,2,36,
403365,Parkview,133800,167700,33900,0.253363229,3,36,
403363,Pill Hill,133500,147700,14200,0.106367041,1,37,
33420,Pilsen,192300,270600,78300,0.407176287,2,37,
275083,Portage Park,217700,282700,65000,0.298576022,3,37,
403343,Printers Row,226600,285200,58600,0.258605472,1,38,
403269,Pulaski Park,308900,373900,65000,0.210424085,2,38,
140024,Pullman,98700,113600,14900,0.150962513,3,38,
403305,Ranch Triangle,481300,579000,97700,0.202991897,1,39,
33597,Ravenswood,248100,294400,46300,0.186618299,2,39,
403290,Ravenswood Manor,434900,550200,115300,0.265118418,3,39,
403300,River North,236200,301300,65100,0.275613887,1,40,
403297,River West,296800,356700,59900,0.201819407,2,40,
269605,Rogers Park,122900,151400,28500,0.23189585,3,40,
403292,Roscoe Village,311900,368000,56100,0.179865341,1,41,
275251,Roseland,104400,111600,7200,0.068965517,2,41,
403379,Rosemoor,131200,132200,1000,0.007621951,3,41,
140292,Sauganash,397600,428700,31100,0.078219316,1,42,
403280,Schorsch Forest View,282400,328400,46000,0.162889518,2,42,
403284,Schorsch Village,212700,269100,56400,0.2651622,3,42,
403367,Scottsdale,135100,178300,43200,0.319763138,1,43,
403306,Sheffield Neighbors,528800,620000,91200,0.172465961,2,43,
403265,Sheridan Park,230800,275700,44900,0.194540728,3,43,
403120,South Austin,131100,171500,40400,0.308161709,1,44,
140437,South Chicago,126700,130100,3400,0.026835043,2,44,
140440,South Deering,93600,94100,500,0.00534188,3,44,
269607,South Loop,223300,277400,54100,0.242274966,1,45,
269608,South Shore,122100,128500,6400,0.052416052,2,45,
403299,Streeterville,317100,354400,37300,0.117628508,3,45,
403346,The Gap,245900,291500,45600,0.185441236,1,46,
269593,The Loop,279800,279800,0,0,2,46,
403321,Tri-Taylor,144200,199100,54900,0.380721221,3,46,
403312,Ukrainian Village,310200,373600,63400,0.204384268,1,47,
403278,Union Ridge,226600,276000,49400,0.218005296,2,47,
403141,University Village - Little Italy,198600,268800,70200,0.35347432,3,47,
269609,Uptown,198500,230800,32300,0.162720403,1,48,
403333,Vittum Park,134900,178900,44000,0.326167532,2,48,
269610,Washington Heights,129300,126100,-3200,-0.024748647,3,48,
275927,Washington Park,133200,143100,9900,0.074324324,1,49,
403374,West Beverly,213200,241200,28000,0.131332083,2,49,
403361,West Chesterfield,142000,154500,12500,0.088028169,3,49,
403309,West De Paul,501100,600400,99300,0.198164039,1,50,
269611,West Elsdon,136300,171400,35100,0.257520176,2,50,
269612,West Englewood,78300,83900,5600,0.071519796,3,50,
269613,West Garfield Park,115900,151800,35900,0.309749784,1,51,
403318,West Humboldt Park,120400,159000,38600,0.320598007,2,51,
269614,West Lawn,141100,173100,32000,0.226789511,3,51,
403322,West Loop Gate,231600,299200,67600,0.291882556,1,52,
403373,West Morgan Park,220200,243500,23300,0.105812897,2,52,
140913,West Pullman,97000,103700,6700,0.069072165,3,52,
403169,West Rogers Park,135000,171800,36800,0.272592593,1,53,
269615,West Town,303300,374400,71100,0.234421365,2,53,
403353,West Woodlawn,121900,135300,13400,0.109926169,3,53,
7930,Wicker Park,385500,449400,63900,0.165758755,1,54,
403275,Wildwood,416800,460900,44100,0.105806142,2,54,
276138,Woodlawn,127500,158800,31300,0.245490196,3,54,
403151,Wrightwood,143300,174200,30900,0.215631542,1,55,
403307,Wrightwood Neighbors,406500,463200,56700,0.139483395,2,55,
403294,Wrigleyville,373400,426800,53400,0.143010177,3,55,
